1,2,3,4,5,6,7,8,9,10
7,3,1,1,0,0,0,0,0,0
14,6,6,0,0,0,0,0,0,0
22,13,6,1,0,0,0,0,0,0
25,14,7,1,1,0,0,0,0,0
39,15,7,4,2,0,0,0,0,0
47,24,15,1,2,0,0,0,0,0
53,36,8,6,0,0,0,0,0,0
57,30,20,8,1,0,0,0,0,0
61,46,17,3,1,0,0,0,0,0
69,53,27,7,2,0,0,0,0,0
81,52,23,2,1,0,0,0,0,0
101,58,28,10,2,0,0,0,1,0
87,77,40,4,1,0,0,0,0,0
94,76,43,13,4,1,0,0,0,0
111,81,50,24,1,0,0,0,0,0
129,71,54,13,2,0,0,1,1,0
123,104,48,18,3,0,0,0,0,0
135,124,56,22,4,0,0,2,1,0
166,123,107,21,9,0,0,0,2,0
147,120,61,33,13,3,1,0,1,0
163,121,102,37,10,7,2,0,0,0
173,126,73,41,16,7,0,0,1,0
170,139,107,51,32,11,1,1,3,0
184,149,120,76,16,3,3,0,2,0
193,187,114,91,45,20,5,1,1,3
202,162,170,102,64,23,4,1,0,1
206,189,186,125,91,39,7,1,2,0
229,185,162,138,101,35,7,2,3,7
233,205,207,186,159,83,21,6,8,11
216,208,188,207,129,82,21,8,1,9
248,229,171,184,176,170,93,12,3,2
250,234,249,254,189,224,170,19,3,3
271,244,240,262,225,244,179,76,9,1
281,274,255,267,212,251,222,210,48,9
288,290,276,279,277,271,181,254,69,12
275,256,304,281,291,274,252,252,218,121
323,288,298,288,281,305,319,273,243,296
282,298,293,311,305,289,297,284,298,282
317,334,340,338,294,311,310,301,325,243
316,311,325,368,344,341,330,298,0,343
335,313,353,349,357,347,336,317,300,359
359,328,370,371,366,369,5,338,0,375
346,356,385,407,365,369,5,3,380,377
371,378,405,377,401,395,14,391,375,370
380,364,396,403,414,393,408,9,397,391
405,396,421,417,436,406,19,425,407,11
405,424,422,438,434,25,434,418,428,432
390,437,428,434,422,30,439,17,13,23
426,443,440,463,464,23,457,16,451,39
414,442,462,471,60,28,38,468,22,42
448,413,461,487,499,35,465,39,51,46
445,463,470,492,488,505,501,41,489,501
453,477,495,507,488,48,504,37,518,512
476,456,505,510,527,523,54,59,52,72
494,492,494,527,538,539,536,544,540,69
495,502,533,538,534,548,552,551,555,547
501,508,526,536,550,80,554,39,563,566
506,519,554,561,562,564,565,578,576,46
513,536,551,570,572,580,579,55,588,589
530,545,573,575,595,592,58,595,597,600
511,544,573,591,599,604,608,608,609,607
533,566,591,598,612,617,614,617,618,620
538,561,601,614,621,622,628,626,629,630
584,566,612,625,627,635,636,636,639,638
529,604,625,639,641,648,649,650,650,599
572,594,627,654,659,654,651,656,607,566
602,600,616,652,662,668,662,660,632,625
597,648,654,664,675,674,671,643,603,639
605,638,648,661,683,685,673,635,625,653
615,645,670,683,681,688,669,650,674,672
643,644,678,679,692,682,662,636,654,650
651,649,673,673,696,670,654,658,697,693
633,673,691,717,686,681,671,710,709,721
622,678,719,702,697,706,687,663,732,735
649,689,711,716,701,683,677,683,743,742
697,707,732,746,715,719,689,740,734,758
689,697,693,750,729,704,686,688,758,769
671,698,762,716,735,699,694,705,777,777
677,741,734,729,732,737,716,773,782,787
690,732,737,736,748,713,730,790,797,798
752,738,770,742,735,743,742,809,800,808
727,767,767,754,755,726,755,815,819,819
685,797,776,760,767,762,756,827,829,830
702,782,805,798,778,768,774,838,838,840
711,804,764,781,793,777,775,836,845,850
774,801,820,794,784,791,792,850,860,860
741,781,792,809,811,804,806,870,870,870
806,756,829,807,834,821,823,877,878,880
795,799,817,833,843,831,834,889,890,890
804,845,856,849,851,852,853,895,899,900
809,819,871,854,867,865,865,909,909,910
814,866,864,879,870,879,875,920,920,920
830,862,889,894,898,890,895,930,930,930
844,859,894,907,904,907,940,939,940,940
813,869,901,915,927,921,922,950,950,950
838,873,911,925,934,937,940,938,960,960
794,898,939,938,951,950,970,970,970,970
864,864,889,956,951,966,967,980,980,980
817,883,924,956,967,981,983,990,990,990
