1,2,3,4,5,6,7,8,9,10
158,87,64,28,20,8,7,0,0,0
112,152,37,25,13,15,14,12,0,0
119,141,48,40,21,20,16,0,0,0
128,96,62,30,31,26,22,0,0,0
117,98,60,31,29,26,29,0,0,0
99,94,67,30,35,42,4,0,0,0
141,50,116,31,38,37,40,0,0,0
125,115,50,29,36,46,1,0,0,0
110,45,54,56,54,48,47,0,0,0
112,41,52,48,45,55,4,3,0,0
117,96,77,57,66,50,53,0,0,0
71,76,53,53,49,54,62,2,0,0
106,63,49,79,65,65,62,1,0,0
153,79,42,59,63,70,8,4,0,0
108,90,51,40,52,70,12,2,2,1
65,87,39,68,71,73,63,4,1,0
113,56,73,65,63,55,70,8,0,1
109,38,66,59,70,73,72,3,2,1
62,43,22,66,70,73,71,12,1,1
89,73,57,63,73,80,79,21,3,0
97,85,31,64,76,70,73,87,5,3
77,91,79,71,59,59,85,17,9,2
91,91,47,47,44,66,71,25,8,1
98,63,52,51,93,86,66,79,11,4
111,38,55,31,43,50,71,27,44,7
94,85,28,27,26,38,62,91,33,4
96,50,24,24,30,40,73,72,21,21
106,77,54,36,21,48,57,70,30,6
90,55,24,16,12,21,50,64,21,12
130,65,43,13,33,17,56,59,78,20
75,46,80,23,14,6,12,53,95,55
97,53,26,9,13,6,5,51,94,60
86,72,24,14,12,5,1,20,78,95
76,50,40,9,13,3,2,1,18,55
91,49,30,16,6,1,9,1,16,64
104,76,25,13,10,5,5,0,3,2
59,57,30,18,16,5,1,4,2,0
116,65,33,19,17,11,4,5,4,1
77,45,19,15,26,11,7,3,0,1
97,61,45,12,10,6,4,4,531,0
89,92,26,20,9,6,11,4,6,1
58,76,39,21,16,15,519,15,544,3
117,76,21,13,24,14,532,508,6,2
67,50,29,25,10,17,502,11,8,9
57,69,46,30,19,25,8,496,9,6
55,69,35,20,21,18,470,11,12,483
78,48,42,22,25,487,15,23,22,10
83,52,57,29,39,475,18,480,479,463
76,53,44,24,26,470,22,482,36,456
68,69,43,34,450,481,460,22,476,463
72,74,54,30,16,477,40,462,465,469
93,78,56,35,45,28,39,463,46,39
71,50,49,45,53,455,44,460,40,57
66,82,53,48,29,40,448,446,448,449
55,63,80,50,40,36,46,47,47,444
69,75,44,48,63,48,58,73,55,72
64,73,58,68,57,418,59,430,54,79
63,73,47,59,62,59,88,50,72,420
55,78,59,62,70,65,80,408,67,87
66,73,61,69,55,59,400,79,86,69
87,73,78,78,71,60,72,74,80,119
61,60,76,84,32,58,78,86,129,125
63,85,70,62,79,105,90,79,152,75
51,85,70,68,103,90,71,123,168,236
88,82,58,68,60,68,89,94,104,327
80,86,98,47,28,105,177,183,320,335
51,90,114,99,71,63,171,251,312,319
60,68,85,100,89,151,199,288,316,311
57,68,104,118,107,148,239,299,309,304
70,68,91,101,147,191,256,293,291,296
59,97,94,121,153,235,273,286,288,289
43,87,116,159,175,245,267,275,273,280
56,77,110,116,199,248,262,266,266,270
65,82,94,171,220,240,250,260,258,255
50,75,106,145,213,233,249,248,246,250
49,72,83,147,202,229,237,239,239,238
39,87,140,141,201,228,227,230,230,227
43,90,76,177,194,218,219,220,219,220
53,80,117,166,198,205,210,209,210,210
48,81,117,172,182,197,200,200,200,200
27,88,94,161,188,189,190,187,190,190
51,67,121,165,170,180,179,180,179,180
38,59,114,151,165,168,169,170,170,170
46,75,99,139,155,160,160,160,160,160
49,54,117,139,147,150,150,150,150,150
31,63,97,128,139,137,140,140,140,140
34,70,103,125,129,130,130,130,130,130
31,73,84,115,118,120,120,120,120,120
27,49,88,106,109,110,110,110,110,110
17,42,81,95,99,100,100,100,100,100
23,60,70,88,90,90,90,90,90,90
16,38,67,76,80,80,80,80,80,80
21,38,61,68,70,70,70,70,70,70
15,34,45,57,60,60,60,60,60,60
21,30,40,45,48,50,50,50,50,50
11,28,35,37,40,40,40,40,40,40
13,15,26,29,30,30,30,30,30,30
6,11,18,20,20,20,20,20,20,20
3,6,6,10,10,10,10,10,10,10
