1,2,3,4,5,6,7,8,9,10
832,903,926,962,970,982,983,990,990,990
868,828,943,955,967,965,966,968,980,980
851,829,922,930,949,950,954,970,970,970
832,864,898,930,929,934,938,960,960,960
833,852,890,919,921,924,921,950,950,950
841,846,873,910,905,898,936,940,940,940
789,880,814,899,892,893,890,930,930,930
795,805,870,891,884,874,919,920,920,920
800,865,856,854,856,862,863,910,910,910
788,859,848,852,855,845,896,897,900,900
773,794,813,833,824,840,837,890,890,890
809,804,827,827,831,826,818,878,880,880
764,807,821,791,805,805,808,869,870,870
707,781,818,801,797,790,852,856,860,860
742,760,799,810,798,780,838,848,848,849
775,753,801,772,769,767,777,836,839,840
717,774,757,765,767,775,760,822,830,829
711,782,754,761,750,747,748,817,818,819
748,767,788,744,740,737,739,798,809,809
711,727,743,737,727,720,721,779,797,800
693,705,759,726,714,720,717,703,785,787
703,689,701,709,721,721,695,763,771,778
679,679,723,723,726,704,699,745,762,769
662,697,708,709,667,674,694,681,749,756
639,712,695,719,707,700,679,723,706,743
646,655,712,713,714,702,678,649,707,736
634,680,706,706,700,690,657,658,709,709
614,643,666,684,699,672,663,650,690,714
620,655,686,694,698,689,660,646,689,698
570,635,657,687,667,683,644,641,622,680
615,644,610,667,676,684,678,637,595,635
583,627,654,671,667,674,675,629,586,620
584,598,646,656,658,665,669,650,592,575
584,610,620,651,647,657,658,659,642,605
559,601,620,634,644,649,641,649,634,586
536,564,615,627,630,635,635,640,637,638
571,573,600,612,614,625,629,626,628,630
504,555,587,601,603,609,616,615,616,619
533,565,591,595,584,599,603,607,610,609
503,539,555,588,590,594,596,596,69,600
501,498,564,570,581,584,579,586,584,589
522,504,541,559,564,565,61,565,36,577
453,494,549,557,546,556,38,62,564,568
493,510,531,535,550,543,58,549,552,551
493,481,504,520,531,525,542,54,541,544
485,471,505,520,519,522,70,529,528,57
452,482,488,508,505,43,515,507,508,520
437,468,463,491,481,45,502,40,41,57
434,457,466,486,484,40,488,28,474,54
432,431,457,466,50,19,40,478,24,37
418,416,436,460,474,13,450,28,25,21
387,402,424,445,435,452,441,17,434,441
399,420,421,425,417,15,426,10,430,413
394,378,407,412,431,420,12,14,12,11
395,387,370,400,410,414,404,403,403,6
371,365,396,392,377,392,382,367,385,368
366,357,372,362,373,12,371,0,376,351
357,347,373,361,358,361,332,370,348,0
355,332,351,348,340,345,330,2,343,323
334,327,339,331,345,341,0,321,314,331
303,317,312,312,319,330,318,316,310,271
319,320,304,296,348,322,302,294,251,255
307,285,300,308,291,265,280,291,218,295
309,275,290,292,257,270,289,237,192,124
262,268,292,282,290,282,261,256,246,23
260,254,242,293,312,235,163,157,20,5
279,240,216,231,259,267,159,79,18,11
260,252,235,220,231,169,121,32,4,9
253,242,206,192,203,162,71,11,1,6
230,232,209,199,153,109,44,7,9,4
231,193,196,169,137,55,17,4,2,1
237,193,164,121,105,35,13,5,7,0
214,193,160,154,71,22,8,4,4,0
195,178,166,89,40,20,10,0,2,5
200,175,144,105,37,17,1,2,4,0
191,168,157,93,38,11,3,1,1,2
191,143,90,89,29,2,3,0,0,3
177,130,144,43,26,2,1,0,1,0
157,130,93,44,12,5,0,1,0,0
152,119,83,28,18,3,0,0,0,0
163,102,96,29,2,1,0,3,0,0
129,113,59,15,10,0,1,0,1,0
132,111,56,19,5,2,1,0,0,0
114,85,61,21,5,0,0,0,0,0
101,96,33,11,3,0,0,0,0,0
109,77,43,12,1,3,0,0,0,0
96,60,27,5,1,0,0,0,0,0
89,47,36,5,2,0,0,0,0,0
83,61,22,4,1,0,0,0,0,0
83,58,19,5,1,0,0,0,0,0
67,30,20,2,0,0,0,0,0,0
64,42,13,4,0,0,0,0,0,0
49,32,9,2,0,0,0,0,0,0
45,26,15,3,0,0,0,0,0,0
29,20,10,5,2,0,0,0,0,0
29,12,5,3,0,0,0,0,0,0
17,15,4,1,0,0,0,0,0,0
14,9,2,0,0,0,0,0,0,0
7,4,4,0,0,0,0,0,0,0
