1,2,3,4,5,6,7,8,9,10
3,7,9,9,10,10,10,10,10,10
6,14,14,20,20,20,20,20,20,20
8,17,24,29,30,30,30,30,30,30
15,26,33,39,39,40,40,40,40,40
11,35,43,46,48,50,50,50,50,50
13,36,45,59,58,60,60,60,60,60
17,34,62,64,70,70,70,70,70,70
23,50,60,72,79,80,80,80,80,80
29,44,73,87,89,90,90,90,90,90
31,47,73,93,98,100,100,100,100,100
29,58,87,108,109,110,110,110,110,110
19,62,92,110,118,120,120,120,119,120
43,53,90,126,129,130,130,130,130,130
46,64,97,127,136,139,140,140,140,140
39,69,100,126,149,150,150,150,150,150
31,89,106,147,158,160,160,159,159,160
47,66,122,152,167,170,170,170,170,170
45,56,124,158,176,180,180,178,179,180
24,67,83,169,181,190,190,190,188,190
53,80,139,167,187,197,199,200,199,200
47,89,108,173,200,203,208,210,210,210
47,94,147,179,204,213,220,220,219,220
60,91,123,179,198,219,229,229,227,230
56,91,120,164,224,237,237,240,238,240
57,63,136,159,205,230,245,249,249,247
58,98,90,158,196,237,256,259,260,259
64,81,84,145,179,231,263,269,268,270
51,95,118,142,179,245,273,278,277,273
57,85,83,104,131,207,269,284,282,279
84,92,112,93,171,218,279,292,299,291
62,81,139,126,134,140,217,298,307,308
70,86,71,66,131,96,150,301,317,317
59,86,90,68,105,86,151,254,321,329
59,66,85,73,128,89,118,130,292,331
62,60,74,71,73,79,169,96,281,338
85,104,56,79,69,86,108,108,142,239
47,82,72,82,89,65,51,97,127,74
98,82,87,69,75,91,83,96,82,98
73,56,50,52,96,79,80,89,65,147
84,89,75,32,56,59,70,102,400,57
75,97,57,61,53,63,74,93,110,51
61,92,50,49,54,51,415,82,420,45
84,74,45,23,65,61,425,427,50,53
69,62,35,63,39,45,426,49,65,70
70,86,54,47,36,57,42,441,53,59
55,64,39,43,24,54,441,35,53,449
65,46,48,32,36,445,36,52,42,38
90,43,52,46,58,450,41,463,467,457
64,47,50,27,26,467,33,474,39,451
86,58,38,29,440,472,462,32,478,458
62,97,49,23,11,475,45,471,459,464
75,57,50,28,32,15,19,479,31,19
77,53,35,23,42,482,26,493,12,18
64,84,35,30,13,17,486,481,488,468
56,58,56,23,12,11,14,6,10,481
65,58,27,22,26,12,8,9,5,13
69,62,44,34,20,490,16,531,7,4
74,61,26,19,18,16,15,2,4,534
77,54,39,20,18,10,11,535,2,1
70,55,27,25,5,8,542,5,3,0
99,66,37,19,11,6,2,2,1,3
87,54,29,22,8,3,6,3,2,0
92,69,29,16,9,8,2,4,1,0
56,74,28,15,13,5,4,4,1,2
121,46,25,11,9,2,1,0,0,51
88,66,33,6,1,6,9,4,53,94
68,70,54,18,8,2,8,10,38,45
83,32,26,16,5,6,9,37,77,41
85,52,42,29,7,5,17,55,65,37
85,55,30,17,19,12,31,50,26,28
67,66,32,31,18,28,48,74,56,60
69,71,47,47,24,50,66,62,23,27
97,57,39,13,44,49,59,20,21,9
118,62,21,38,43,34,53,77,8,5
101,61,39,34,49,67,73,67,7,8
63,53,28,14,45,41,71,20,26,2
81,73,77,20,41,66,84,82,12,1
109,82,18,64,45,81,86,75,3,3
113,49,56,61,58,53,74,17,8,3
110,68,63,64,52,87,70,10,3,2
58,72,40,68,75,67,68,1,10,2
93,53,53,66,65,94,65,5,1,1
145,33,54,70,63,68,74,3,1,0
138,58,35,42,62,72,66,2,2,0
139,46,86,69,57,73,75,14,5,0
86,59,40,66,76,69,68,10,0,0
129,89,78,61,59,66,64,0,0,0
74,124,51,73,46,59,57,3,2,0
95,91,73,57,47,59,56,1,0,0
96,55,44,51,49,48,47,5,1,0
101,91,39,56,43,45,45,1,1,0
106,54,56,41,50,41,45,0,0,0
100,68,41,36,32,40,35,0,0,0
96,81,46,33,36,33,0,1,0,0
137,81,49,35,23,29,28,0,0,0
122,87,49,35,26,23,20,22,0,0
176,72,31,32,19,20,0,0,0,0
116,116,91,24,29,14,13,0,0,0
173,107,66,34,23,9,7,0,0,0
