1,2,3,4,5,6,7,8,9,10
83.5,91.0,93.5,97.1,98.0,99.2,99.3,100.0,100.0,100.0
87.4,84.2,95.7,97.5,98.7,98.5,98.6,98.8,100.0,100.0
85.9,84.6,94.6,95.9,97.9,98.0,98.4,100.0,100.0,100.0
84.7,89.0,93.1,96.9,96.8,97.4,97.8,100.0,100.0,100.0
84.4,88.7,93.3,96.5,96.9,97.4,97.1,100.0,100.0,100.0
85.4,88.2,91.8,96.9,96.3,95.8,99.6,100.0,100.0,100.0
80.6,91.4,87.6,96.3,96.2,96.3,96.0,100.0,100.0,100.0
81.8,85.5,93.0,96.3,96.3,95.4,99.9,100.0,100.0,100.0
82.9,90.9,92.9,94.1,94.5,95.2,95.3,100.0,100.0,100.0
81.9,90.6,92.1,94.5,95.3,94.5,99.6,99.7,100.0,100.0
80.2,85.2,90.0,94.1,93.3,95.0,94.7,100.0,100.0,100.0
82.8,86.6,91.9,93.7,94.9,94.6,93.8,99.8,99.9,100.0
80.7,86.0,91.1,91.7,93.4,93.5,93.8,99.9,100.0,100.0
75.3,84.5,91.5,92.8,93.3,92.9,99.2,99.6,100.0,100.0
78.1,82.9,89.9,93.6,94.7,93.0,98.8,99.8,99.8,99.9
80.6,84.2,90.7,91.9,92.7,92.7,93.7,99.5,99.8,100.0
76.4,84.0,87.9,91.7,93.4,94.5,93.0,99.2,100.0,99.9
75.6,83.8,87.8,91.9,92.6,92.7,92.8,99.5,99.7,99.9
77.2,83.4,87.1,91.3,92.1,92.7,92.9,98.8,99.7,99.9
76.4,80.7,88.2,90.4,91.4,91.7,92.0,97.9,99.6,100.0
74.0,79.4,86.7,89.9,91.4,92.3,92.5,91.3,99.5,99.7
75.0,78.3,84.8,88.8,92.5,93.4,91.5,98.3,99.0,99.8
73.9,77.0,84.6,90.2,92.4,92.3,92.8,97.4,98.9,99.9
71.8,78.8,82.8,87.3,89.1,91.1,93.1,92.1,98.7,99.6
69.6,77.5,83.1,87.8,91.2,93.0,92.4,97.2,95.5,99.0
70.4,75.3,80.2,87.1,91.0,93.9,93.4,90.8,96.7,99.5
69.8,76.1,79.0,85.1,87.9,92.1,92.0,92.7,97.7,97.9
66.5,73.8,78.4,82.6,87.8,91.7,93.6,92.8,96.7,98.7
67.7,74.0,76.9,79.8,82.9,89.6,92.9,93.0,97.1,97.7
65.4,72.7,76.9,78.0,83.8,90.1,92.3,93.3,92.1,97.1
67.7,72.5,74.9,79.3,81.0,82.4,89.5,93.5,90.2,94.3
65.3,71.3,72.5,73.7,79.8,77.0,82.5,93.0,90.3,93.7
64.3,68.4,73.6,72.4,76.3,75.1,82.0,90.4,91.3,90.4
64.3,67.6,70.5,72.4,77.5,74.6,77.6,78.9,93.4,93.6
62.1,66.1,69.4,70.5,71.7,72.8,81.0,74.5,91.5,92.4
62.1,66.8,67.1,70.6,69.9,72.1,74.3,74.8,77.9,87.7
61.8,65.5,67.2,69.4,70.3,69.0,68.0,72.3,75.5,70.4
60.2,63.7,67.4,67.0,67.8,70.0,69.9,71.1,69.8,71.7
60.6,62.1,64.1,64.7,68.0,67.8,68.3,69.6,67.5,75.6
58.7,62.8,63.0,62.0,64.6,65.3,66.6,69.8,46.9,65.7
57.6,59.5,62.1,63.1,63.4,64.7,65.3,67.9,69.4,64.0
58.3,59.6,59.1,60.8,61.8,61.6,47.6,64.7,45.6,62.2
53.7,56.8,59.4,58.0,61.1,61.7,46.3,48.9,61.4,62.1
56.2,57.2,56.6,59.8,58.9,58.8,48.4,59.8,61.7,62.1
56.3,56.7,55.8,56.7,56.7,58.2,58.4,49.5,59.4,60.3
54.0,53.5,54.4,56.3,54.3,57.6,51.1,56.4,58.1,50.6
51.7,52.8,53.6,54.0,54.1,48.8,55.1,55.9,55.0,55.8
52.7,51.1,51.5,53.7,53.9,49.5,54.3,50.3,50.8,51.4
49.8,50.4,51.6,51.3,51.0,50.7,52.1,50.2,51.3,50.5
51.8,48.9,49.5,49.5,49.0,49.1,50.2,51.0,50.2,49.5
48.0,51.3,48.5,48.3,48.5,48.8,49.5,49.9,48.4,48.5
46.2,45.9,47.4,47.3,46.7,46.7,46.0,49.6,46.5,46.0
47.6,47.3,45.6,44.8,45.9,49.7,45.2,50.3,44.2,43.1
45.8,46.2,44.2,44.2,44.4,43.7,49.8,49.5,50.0,47.9
45.1,44.5,42.6,42.3,42.2,42.5,41.8,40.9,41.3,48.7
43.6,42.3,42.3,41.4,40.3,40.4,39.0,37.6,39.0,38.1
43.5,41.9,41.6,39.6,39.3,50.2,38.7,53.1,38.3,35.5
43.1,40.8,39.9,38.0,37.6,37.7,34.7,37.2,35.2,53.4
43.2,38.6,39.0,36.8,35.8,35.5,34.1,53.7,34.5,32.4
40.4,38.2,36.6,35.6,35.0,34.9,54.2,32.6,31.7,33.1
40.2,38.3,34.9,33.1,33.0,33.6,32.0,31.8,31.1,27.4
40.6,37.4,33.3,31.8,35.6,32.5,30.8,29.7,25.3,25.5
39.9,35.4,32.9,32.4,30.0,27.3,28.2,29.5,21.9,29.5
36.5,34.9,31.8,30.7,27.0,27.5,29.3,24.1,19.3,12.6
38.3,31.4,31.7,29.3,29.9,28.4,26.2,25.6,24.6,7.4
34.8,32.0,27.5,29.9,31.3,24.1,17.2,16.1,7.3,9.9
34.7,31.0,27.0,24.9,26.7,26.9,16.7,8.9,5.6,5.6
34.3,28.4,26.1,23.6,23.6,17.5,13.0,6.9,8.1,5.0
33.8,29.4,24.8,22.1,21.0,16.7,8.8,6.6,6.6,4.3
31.5,28.7,23.9,21.6,17.2,12.1,7.5,5.7,3.5,3.2
29.8,25.9,22.8,20.0,15.5,8.3,6.5,7.8,5.8,6.1
30.6,26.4,21.1,16.8,12.9,8.5,7.9,6.7,3.0,2.7
31.1,25.0,19.9,16.7,11.5,7.1,6.7,2.4,2.5,0.9
31.3,24.0,18.7,12.7,8.3,5.4,6.3,7.7,1.0,1.0
30.1,23.6,18.3,13.9,8.6,8.4,7.4,6.9,1.1,0.8
25.4,22.1,18.5,10.7,8.3,5.2,7.4,2.1,2.7,0.4
27.2,21.6,16.7,10.9,7.0,6.8,8.7,8.2,1.2,0.4
28.6,21.2,16.2,10.7,7.1,8.3,8.7,7.5,0.4,0.3
27.0,17.9,14.9,10.5,7.0,5.8,7.4,1.8,0.8,0.3
26.2,18.7,14.6,9.2,7.0,9.0,7.0,1.0,0.3,0.2
22.1,17.4,13.6,9.7,7.7,6.8,6.8,0.4,1.0,0.2
22.2,16.6,11.2,8.1,7.5,9.4,6.6,0.5,0.2,0.1
27.7,14.4,11.0,8.9,6.8,7.0,7.5,0.3,0.1,0.0
25.2,14.3,9.6,6.3,6.7,7.2,6.6,0.2,0.2,0.0
24.0,14.2,11.9,8.0,6.0,7.3,7.5,1.4,0.5,0.0
19.5,13.6,8.3,7.8,7.7,7.2,6.8,1.0,0.0,0.0
22.5,14.9,10.5,6.6,6.0,6.6,6.4,0.0,0.0,0.0
16.3,17.1,8.7,7.8,4.8,5.9,5.7,0.3,0.2,0.0
17.8,15.2,9.5,6.1,4.8,5.9,5.6,0.1,0.0,0.0
17.9,11.3,6.3,5.6,5.0,4.8,4.7,0.5,0.1,0.0
16.8,12.1,5.9,5.8,4.3,4.5,4.5,0.1,0.1,0.0
17.0,9.6,6.9,4.5,5.0,4.1,4.5,0.0,0.0,0.0
14.9,10.0,5.0,3.8,3.2,4.0,3.5,0.0,0.0,0.0
14.1,10.7,6.1,3.6,3.6,3.3,0.0,0.1,0.0,0.0
16.6,10.1,5.9,4.0,2.5,2.9,2.8,0.0,0.0,0.0
15.1,9.9,5.4,3.8,2.6,2.3,2.0,2.2,0.0,0.0
19.3,8.7,3.5,3.3,1.9,2.0,0.0,0.0,0.0,0.0
13.0,12.5,9.3,2.4,2.9,1.4,1.3,0.0,0.0,0.0
18.0,11.1,7.0,3.4,2.3,0.9,0.7,0.0,0.0,0.0
