1,2,3,4,5,6,7,8,9,10
16.1,9.4,7.3,3.7,3.0,1.8,1.7,1.0,1.0,1.0
11.8,16.6,5.1,4.5,3.3,3.5,3.4,3.2,2.0,2.0
12.7,15.8,7.2,6.9,5.1,5.0,4.6,3.0,3.0,3.0
14.3,12.2,9.5,6.9,7.0,6.6,6.2,4.0,4.0,4.0
12.8,13.3,10.3,7.7,7.7,7.6,7.9,5.0,5.0,5.0
11.2,13.0,11.2,8.9,9.3,10.2,6.4,6.0,6.0,6.0
15.8,8.4,17.8,9.5,10.8,10.7,11.0,7.0,7.0,7.0
14.8,16.5,11.0,10.1,11.5,12.6,8.1,8.0,8.0,8.0
13.9,8.9,12.7,14.3,14.3,13.8,13.7,9.0,9.0,9.0
14.3,8.8,12.5,14.1,14.3,15.5,10.4,10.3,10.0,10.0
14.6,15.4,16.4,16.5,17.5,16.0,16.3,11.0,11.0,11.0
9.0,13.8,14.5,16.3,16.7,17.4,18.2,12.2,11.9,12.0
14.9,11.6,13.9,20.5,19.4,19.5,19.2,13.1,13.0,13.0
19.9,14.3,13.9,18.6,19.9,20.9,14.8,14.4,14.0,14.0
14.7,15.9,15.1,16.6,20.1,22.0,16.2,15.2,15.2,15.1
9.6,17.6,14.5,21.5,22.9,23.3,22.3,16.3,16.0,16.0
16.0,12.2,19.5,21.7,23.0,22.5,24.0,17.8,17.0,17.1
15.4,9.4,19.0,21.7,24.6,25.3,25.2,18.1,18.1,18.1
8.6,11.0,10.5,23.5,25.1,26.3,26.1,20.2,18.9,19.1
14.2,15.3,19.6,23.0,26.0,27.7,27.8,22.1,20.2,20.0
14.4,17.4,13.9,23.7,27.6,27.3,28.1,29.7,21.5,21.3
12.4,18.5,22.6,25.0,26.3,27.2,30.5,23.7,22.8,22.2
15.1,18.2,17.0,22.6,24.2,28.5,30.0,25.4,23.5,23.1
15.4,15.4,17.2,21.5,31.7,32.3,30.3,31.9,24.9,24.4
16.8,10.1,19.1,19.0,24.8,28.0,31.6,27.6,29.3,25.4
15.2,18.3,11.8,18.5,22.2,27.5,31.8,35.0,29.3,26.3
